Id,Postcode,Latitude,Longitude
1,YO8 8AT,53.775065,-1.051545
2,RM17 5TD,51.482514,0.352974
3,SS7 1TW,51.56276,0.583347
4,YO12 5LF,54.275292,-0.430757
5,B70 6AW,52.515086,-1.992087
6,PR25 3DQ,53.680997,-2.689595
7,L7 2RN,53.411891,-2.946523
8,S65 1EG,53.431575,-1.35322
9,BL6 7BT,53.599437,-2.54299
10,S1 2BX,53.376984,-1.465553
11,WA8 5WA,53.3891,-2.746816
12,WA8 7QQ,53.363962,-2.734745
13,SO15 5RL,50.926583,-1.417311
14,RH2 0SD,51.239634,-0.202469
15,GL11 4BY,51.686657,-2.357434
16,CW5 6DF,53.083688,-2.526845
17,RG21 3HF,51.256193,-1.087777
18,DE6 1EP,53.02141,-1.729234
19,LS28 6AA,53.803329,-1.666498
20,SS14 3AY,51.581497,0.449399
21,TW2 7SJ,51.451431,-0.342367
22,BD18 3LQ,53.836819,-1.790215
23,SE18 4LD,51.473101,0.061435
24,SY2 6PR,52.697225,-2.721409
25,CT1 1YQ,51.268949,1.099171
26,SR4 6AD,54.910269,-1.418429
27,SP10 1EJ,51.210741,-1.481204
28,SO21 2NF,51.08468,-1.394883
29,PR9 8QN,53.667467,-2.955467
30,SW18 5JU,51.445196,-0.197099
31,SO14 1AR,50.903441,-1.39513
32,DL5 6AT,54.599191,-1.569808
33,KT1 2AQ,51.406938,-0.305378
34,SM4 5QX,51.393798,-0.204957
35,SW18 2PP,51.456148,-0.190075
36,WS11 1UE,52.690407,-2.032041
37,WS13 6QG,52.679684,-1.829977
38,ST19 5PH,52.702419,-2.117223
39,B79 8AE,52.639364,-1.691165
40,E14 9UB,51.499497,-0.021675
41,BS34 7AT,51.515125,-2.571707
42,RM17 6TF,51.474432,0.323051
43,SS9 5LY,51.566937,0.643543
44,SS1 1ND,51.537958,0.71191
45,TQ4 7EJ,50.414646,-3.587847
46,B5 5SU,52.475457,-1.885753
47,CV37 9QR,52.192858,-1.718214
48,B36 0NF,52.496144,-1.738876
49,B91 1SB,52.409568,-1.792148
50,PE25 3EZ,53.134345,0.339086
51,E17 5AA,51.595513,-0.013682
52,LE17 4EW,52.4604,-1.208896
53,NN12 8TL,52.074953,-1.022308
54,GL1 3NR,51.867409,-2.238512
55,WA4 6RD,53.379485,-2.583436
56,PR2 8UR,53.783867,-2.700493
57,NR20 3JY,52.652317,1.037584
58,NR5 8BF,52.634347,1.256542
59,DA1 2JT,51.431954,0.204027
60,DA12 2JJ,51.433331,0.395595
61,DA12 2JT,51.438309,0.391768
62,SG1 2AF,51.901966,-0.209555
63,SG1 1LA,51.896806,-0.199659
64,SG4 0JD,51.954242,-0.259165
65,KT17 3DS,51.342566,-0.244678
66,WA12 0AQ,53.461834,-2.624899
67,E15 4GY,51.539845,0.004416
68,E13 8SG,51.520068,0.031699
69,ST16 2QR,52.806578,-2.120352
70,ST5 2GB,53.015303,-2.237988
71,RG14 7TD,51.382452,-1.322942
72,SN3 1AH,51.557469,-1.758301
73,DH1 5ES,54.795913,-1.594398
74,PE9 1XA,52.658967,-0.471523
75,WF8 4QR,53.694241,-1.324789
76,LE3 6DN,52.642053,-1.179754
77,IG10 3SA,51.648392,0.075449
78,IG1 4HP,51.560988,0.071106
79,N1 6HQ,51.530733,-0.079304
80,E14 0AF,51.508545,-0.016975
81,HD5 9PG,53.655896,-1.755586
82,BB9 7YT,53.84442,-2.221148
83,BB5 2AW,53.748697,-2.35286
84,CA1 1HS,54.895927,-2.929138
85,DY10 1AB,52.386127,-2.248981
86,WN8 6DX,53.552778,-2.780095
87,NE4 7SA,54.966418,-1.627186
88,SE4 1UT,51.46822,-0.025937
89,LE10 1QU,52.543314,-1.373854
90,LE10 3DT,52.535927,-1.407603
91,LE18 4PH,52.579749,-1.130244
92,CV11 6BH,52.530296,-1.449838
93,BS4 5RQ,51.430091,-2.533232
94,NN3 3RF,52.263014,-0.848865
95,NE63 0YB,55.167527,-1.549853
96,NE23 6UR,55.085264,-1.589236
97,PO3 6PZ,50.808561,-1.045355
98,PL7 2RS,50.388514,-4.051935
99,PL5 3NG,50.402639,-4.154122
100,BN7 3AE,50.904998,-0.069286
101,EX16 6SH,50.912726,-3.491992
102,EX31 2BQ,51.072452,-4.069473
103,PE1 4DZ,52.586783,-0.230191
104,NW5 1RL,51.558445,-0.149649
105,B36 9HF,52.511491,-1.764924
106,CM0 8QB,51.638696,0.813906
107,IP8 3SU,52.045048,1.105792
108,OL8 1XU,53.538654,-2.11865
109,E2 6PR,51.529239,-0.061721
110,AL1 3JE,51.753363,-0.336124
111,WD7 9AB,51.703801,-0.289316
112,SG4 0TP,51.966423,-0.263832
113,AL1 5HL,51.748336,-0.315275
114,SG1 2JE,51.923493,-0.226374
115,NG25 0QF,53.064166,-0.964694
116,NG8 3LD,52.963881,-1.200319
117,NG5 1AL,52.969787,-1.154943
118,NG1 6AB,52.950178,-1.152006
119,NG6 0LG,52.983514,-1.191124
120,LS2 9BL,53.81076,-1.552662
121,TD15 2JG,55.75669,-2.001918
122,NE20 0AQ,55.089246,-1.766375
123,NE63 9RG,55.173252,-1.557403
124,SW12 8EN,51.45115,-0.149284
125,NG34 7PP,52.999218,-0.414248
126,WA10 1FY,53.449438,-2.732664
127,CW7 4AH,53.19158,-2.519801
128,WA2 8QA,53.407537,-2.59283
129,E17 4JB,51.591435,-0.010378
130,WS2 8ES,52.589449,-1.982554
131,WS3 3LX,52.623575,-1.998775
132,NE6 4AW,54.980842,-1.545568
133,NE15 9TP,54.996587,-1.742669
134,WF1 2DH,53.685588,-1.503855
135,BN1 6WQ,50.851623,-0.143408
136,SK17 6RY,53.260938,-1.91712
137,B3 1JB,52.48184,-1.905939
138,PE12 7PU,52.809229,0.01636
139,W2 1NB,51.521032,-0.174603
140,NW10 2XD,51.551716,-0.243029
141,NE28 9NL,55.007651,-1.513807
142,NE34 6ET,54.986229,-1.419756
143,TR18 2SA,50.124425,-5.545585
144,TR1 3XX,50.262794,-5.100783
145,DA17 6HT,51.485253,0.160677
146,BB1 3BD,53.751006,-2.460655
147,SK1 3UQ,53.404275,-2.158962
148,M32 0XH,53.4575,-2.290515
149,WA14 5PQ,53.405469,-2.349545
150,SK11 6QG,53.256556,-2.128569
151,CW7 3BS,53.198645,-2.511653
152,WA2 7TT,53.39282,-2.593348
153,CH1 4EE,53.194484,-2.893843
154,DE14 1NG,52.807206,-1.62755
155,WR11 1LP,52.081991,-1.950009
156,CV35 9BL,52.197131,-1.555539
157,CV21 1AR,52.381236,-1.253857
158,CV32 5JE,52.287561,-1.549577
159,B8 2AS,52.490032,-1.821695
160,HP1 1HD,51.756911,-0.473082
161,WD4 8LZ,51.707013,-0.440129
