Postcode, Longitude, Latitude
AB35 5YJ,-3.488778,56.991655
CT10 1PN,1.435027,51.354162
CT1 3AJ,1.090619,51.276098
OL6 6DD,-2.094054,53.490543
OL6 6DF,-2.093014,53.490535
OL6 6NX,-2.080771,53.487938
SN2 1DY,-1.787517,51.568405
B44 8NE,-1.897605,52.539009
DY5 1RG,-2.119236,52.479920
B74 2NW,-1.821706,52.567579
B4 7PS,-1.889341,52.483210
SM5 3BB,-0.159879,51.366202
IP4 1LT,1.165925,52.054871
BA16 0AB,-2.734039,51.130495
ST6 1JJ,-2.185388,53.047281
CT20 2TZ,1.165981,51.082423
ST4 2DG,-2.182475,53.014744
TS17 6FB,-1.299088,54.562248
LE67 3TN,-1.372555,52.737048
PE9 1XA,-0.471523,52.658967
NE38 8AF,-1.520951,54.887945
WN5 0LJ,-2.698580,53.554199
PE1 5JN,-0.223004,52.581632
L36 3SD,-2.856783,53.427659
WA10 1PP,-2.741470,53.452648
WA10 1FY,-2.732664,53.449438
W10 6EY,-0.215844,51.520273
BS4 5RQ,-2.533232,51.430091
SR4 6AD,-1.418429,54.910269
SP10 1EJ,-1.482723,51.210771
SO21 2NF,-1.394883,51.084680
TS10 1EZ,-1.075195,54.614542
PR9 8QN,-2.955467,53.667467
ME12 1HL,0.758131,51.442008
OL9 6AA,-2.119959,53.542626
N15 4RU,-0.072418,51.586212
N7 0SP,-0.119209,51.554940
TW13 5DR,-0.397464,51.447431
TW7 4HS,-0.342176,51.475195
IP33 3RL,0.700211,52.249242
NG17 7RB,-1.243098,53.116107
NG17 5FA,-1.255016,53.114627
NG18 5BH,-1.191505,53.121674
TN23 1NN,0.872649,51.145932
TN9 2PW,0.263001,51.186726
HP1 1HD,-0.473082,51.756911
WD4 8LZ,-0.440129,51.707013
WD17 3EZ,-0.406211,51.660054
CW7 4AH,-2.519801,53.191580
CT16 1DH,1.311512,51.128095
WA2 8QA,-2.592830,53.407537
WS2 8ES,-1.982554,52.589449
NE15 9TP,-1.742669,54.996587
WF1 2DH,-1.503855,53.685588
BN1 6WQ,-0.143408,50.851623
TR18 2SA,-5.543260,50.124208
TR1 3XX,-5.100783,50.262794
NN3 3RF,-0.848865,52.263014
BB1 3BD,-2.460655,53.751006
IG10 3SA,0.075449,51.648392
IG1 4HP,0.071106,51.560988
N1 6HQ,-0.079304,51.530733
E14 0AF,-0.016975,51.508545
BL1 6PQ,-2.443718,53.601347
E5 8BP,-0.056778,51.559300
E17 4JB,-0.010378,51.591435
WC1X 8RA,-0.118793,51.526904
SO14 1AR,-1.395130,50.903441
NE28 9NL,-1.513807,55.007651
PR2 8UR,-2.700493,53.783867
NR20 3JY,1.037584,52.652317
NR5 8BF,1.256542,52.634347
PO3 6PZ,-1.045355,50.808561
PL1 5QG,-4.167558,50.373877
PL5 3NG,-4.154122,50.402639
BN7 3AE,-0.069286,50.904998
PE1 4DZ,-0.230191,52.586783
NW5 1RL,-0.149649,51.558445
OX16 9QA,-1.344846,52.059484
RG1 4HJ,-0.955431,51.454143
OX1 1SA,-1.264524,51.749548
SG1 2JE,-0.226374,51.923493
AL1 3JE,-0.336124,51.753363
GL1 3NR,-2.238512,51.867409
AL1 5HL,-0.315275,51.748336
SG4 0TP,-0.263832,51.966423
NG17 5JA,-1.253472,53.122690
NG25 0QF,-0.964694,53.064166
LS2 9BL,-1.552662,53.810760
NR2 2LJ,1.286325,52.618144
NE63 0YB,-1.549853,55.167527
NE23 6UR,-1.589236,55.085264
TD15 2JG,-2.001918,55.756690
NE20 0AQ,-1.766375,55.089246
NE63 9RG,-1.557403,55.173252
BN12 6NU,-0.431994,50.823110
BN43 5FF,-0.291173,50.833363
BN2 5PB,-0.101444,50.824225
BN14 8HJ,-0.375465,50.824944
WD7 9AB,-0.289316,51.703801
DL5 6AT,-1.569808,54.599191
LS28 6AA,-1.666498,53.803329
GL11 4BY,-2.357434,51.686657
NE34 6ET,-1.419756,54.986229
SK1 3UQ,-2.158962,53.404275
M32 0XH,-2.290515,53.457500
WA14 5PQ,-2.349545,53.405469
RM17 6TF,0.323051,51.474432
SS9 5LY,0.643543,51.566937
SS1 1ND,0.711910,51.537958
PO7 8AA,-1.021127,50.861598
TQ4 7EJ,-3.587847,50.414646
CH65 7BF,-2.908272,53.279394
CW2 8AB,-2.454971,53.089011
B5 5SU,-1.885753,52.475457
CV37 9QR,-1.718214,52.192858
B36 0NF,-1.738876,52.496144
CW5 6DF,-2.526845,53.083688
B91 1SB,-1.792148,52.409568
E17 5AA,-0.014583,51.597030
SY2 6PR,-2.721409,52.697225
BD18 3LQ,-1.790215,53.836819
S2 2RL,-1.460137,53.372600
TS3 8BT,-1.196006,54.571317
YO8 8AT,-1.051545,53.775065
RM17 5TD,0.352974,51.482514
SS7 1TW,0.583347,51.562760
YO12 5LF,-0.430757,54.275292
B70 6AW,-1.992087,52.515086
PR25 3DQ,-2.689595,53.680997
S65 1EG,-1.353222,53.431593
L7 2RN,-2.946523,53.411891
TW2 7SJ,-0.342367,51.451431
PE25 3EZ,0.339086,53.134345
BN1 4FA,-0.136979,50.828269
BS23 2AL,-2.981524,51.350953
BS24 8EE,-2.935069,51.342113
B7 4AG,-1.886272,52.489182
PE16 6UU,0.052614,52.450081
NE9 6RZ,-1.576827,54.930937
NG8 5GY,-1.191032,52.968483
BS34 7AT,-2.571707,51.515125
NE16 5AR,-1.684805,54.940512
ST6 4JH,-2.196482,53.046211
PE12 7PU,0.016360,52.809229
NG8 3LD,-1.200319,52.963881
CM0 8QB,0.813906,51.638696
B4 7QD,-1.887456,52.483091
WA12 0AQ,-2.624899,53.461834
CO5 0EW,0.748173,51.819431
DE6 1EP,-1.729234,53.021410
TW5 0QR,-0.369411,51.483922
HA3 6NR,-0.356149,51.605896
GU15 4AE,-0.721691,51.349723
DL14 7JZ,-1.671376,54.660286
LN1 3SP,-0.538604,53.247635
CW12 4NS,-2.246493,53.165771
RG19 4LL,-1.248681,51.401737
PL3 4BD,-4.159078,50.381339
DA17 6HT,0.160677,51.485253
PL7 2RS,-4.051935,50.388514
TN24 9AL,0.884232,51.174151
PL31 1DD,-4.711223,50.459758
TQ7 1PL,-3.783148,50.280790
LN4 2BA,-0.415441,53.166682
LN4 3EA,-0.404118,53.140020
LN4 1LH,-0.467988,53.195831
RG10 8DS,-0.871292,51.490392
LS25 1LJ,-1.391387,53.787212
E14 9UB,-0.021675,51.499497
SW18 5JU,-0.197099,51.445196
PL17 8PB,-4.321801,50.546156
TR14 0AB,-5.301305,50.223377
OL6 9RL,-2.075504,53.492067
GL19 3BE,-2.310281,51.904913
NR31 7BQ,1.719995,52.578590
NE6 4AW,-1.545568,54.980842
S60 2BE,-1.350649,53.419534
PO12 4QA,-1.136242,50.800295
